node;vm;va;substation;subnet;voltLvl
LV2.111 Bus 85;0.986267;0.585101;NULL;LV2.111;7
LV2.111 Bus 1;0.988981;0.571452;NULL;LV2.111;7
LV2.111 Bus 46;0.974038;0.953861;NULL;LV2.111;7
LV2.111 Bus 10;0.975391;0.953475;NULL;LV2.111;7
LV2.111 Bus 92;0.989632;0.58408;NULL;LV2.111;7
LV2.111 Bus 65;0.989701;0.606246;NULL;LV2.111;7
LV2.111 Bus 9;0.982428;0.607666;NULL;LV2.111;7
LV2.111 Bus 28;0.975022;0.953579;NULL;LV2.111;7
LV2.111 Bus 7;0.980638;0.66651;NULL;LV2.111;7
LV2.111 Bus 6;0.985556;0.592753;NULL;LV2.111;7
LV2.111 Bus 19;0.989635;0.552432;NULL;LV2.111;7
LV2.111 Bus 95;0.97596;0.994797;NULL;LV2.111;7
LV2.111 Bus 34;0.98262;0.607612;NULL;LV2.111;7
LV2.111 Bus 42;0.975621;0.99489;NULL;LV2.111;7
LV2.111 Bus 71;0.983597;0.616523;NULL;LV2.111;7
LV2.111 Bus 20;0.976206;0.981096;NULL;LV2.111;7
LV2.111 Bus 12;0.986259;0.599933;NULL;LV2.111;7
LV2.111 Bus 18;0.985672;0.607456;NULL;LV2.111;7
LV2.111 Bus 29;0.976093;0.823741;NULL;LV2.111;7
LV2.111 Bus 49;0.9773;0.771458;NULL;LV2.111;7
LV2.111 Bus 25;0.98396;0.607217;NULL;LV2.111;7
LV2.111 Bus 68;0.988815;0.559867;NULL;LV2.111;7
LV2.111 Bus 89;0.984947;0.606931;NULL;LV2.111;7
LV2.111 Bus 26;0.975568;0.943575;NULL;LV2.111;7
LV2.111 Bus 73;0.982594;0.60762;NULL;LV2.111;7
LV2.111 Bus 43;0.98973;0.612073;NULL;LV2.111;7
LV2.111 Bus 91;0.987943;0.58133;NULL;LV2.111;7
LV2.111 Bus 40;0.976495;0.99465;NULL;LV2.111;7
LV2.111 Bus 78;0.97539;0.915081;NULL;LV2.111;7
LV2.111 Bus 63;0.989346;0.636502;NULL;LV2.111;7
LV2.111 Bus 39;0.977904;0.751548;NULL;LV2.111;7
LV2.111 Bus 75;0.975782;0.994846;NULL;LV2.111;7
LV2.111 Bus 31;0.983127;0.607462;NULL;LV2.111;7
LV2.111 Bus 67;0.974721;0.953664;NULL;LV2.111;7
LV2.111 Bus 83;0.983013;0.607495;NULL;LV2.111;7
LV2.111 Bus 86;0.99278;0.686798;NULL;LV2.111;7
LV2.111 Bus 17;0.988618;0.636716;NULL;LV2.111;7
LV2.111 Bus 84;0.989049;0.569275;NULL;LV2.111;7
LV2.111 Bus 96;0.989607;0.56545;NULL;LV2.111;7
LV2.111 Bus 77;0.988592;0.636723;NULL;LV2.111;7
LV2.111 Bus 44;0.98163;0.64445;NULL;LV2.111;7
LV2.111 Bus 100;0.988865;0.636642;NULL;LV2.111;7
LV2.111 Bus 66;0.994316;0.761656;NULL;LV2.111;7
LV2.111 Bus 74;0.98924;0.636532;NULL;LV2.111;7
LV2.112 Bus 23;0.978407;0.72883;NULL;LV2.112;7
LV2.112 Bus 53;0.975528;0.997344;NULL;LV2.112;7
LV2.112 Bus 41;0.996322;0.821567;NULL;LV2.112;7
LV2.112 Bus 13;0.978521;0.72495;NULL;LV2.112;7
LV2.112 Bus 99;0.993732;0.747095;NULL;LV2.112;7
LV2.112 Bus 14;0.978909;0.713069;NULL;LV2.112;7
LV2.112 Bus 81;0.981275;0.650685;NULL;LV2.112;7
LV2.112 Bus 15;0.994059;0.759806;NULL;LV2.112;7
LV2.112 Bus 103;0.982927;0.60984;NULL;LV2.112;7
LV2.112 Bus 69;0.98433;0.609429;NULL;LV2.112;7
LV2.112 Bus 27;0.976539;0.797964;NULL;LV2.112;7
LV2.112 Bus 93;0.978713;0.718965;NULL;LV2.112;7
LV2.112 Bus 16;0.989324;0.559516;NULL;LV2.112;7
LV2.112 Bus 94;0.975724;0.841477;NULL;LV2.112;7
LV2.112 Bus 79;0.988471;0.639086;NULL;LV2.112;7
LV2.112 Bus 38;0.985544;0.609814;NULL;LV2.112;7
LV2.112 Bus 97;0.993616;0.742229;NULL;LV2.112;7
LV2.112 Bus 58;0.979658;0.691513;NULL;LV2.112;7
LV2.112 Bus 72;0.986623;0.596303;NULL;LV2.112;7
LV2.112 Bus 82;0.989382;0.638819;NULL;LV2.112;7
LV2.112 Bus 21;0.975498;0.862613;NULL;LV2.112;7
LV2.112 Bus 101;0.994866;0.784574;NULL;LV2.112;7
LV2.112 Bus 22;0.985625;0.609056;NULL;LV2.112;7
LV2.112 Bus 37;0.995408;0.79919;NULL;LV2.112;7
LV2.112 Bus 61;0.976017;0.997209;NULL;LV2.112;7
LV2.112 Bus 90;0.983359;0.609713;NULL;LV2.112;7
LV2.112 Bus 33;0.988444;0.639094;NULL;LV2.112;7
LV2.112 Bus 88;0.978464;0.72681;NULL;LV2.112;7
LV2.112 Bus 102;0.977257;0.770736;NULL;LV2.112;7
LV2.112 Bus 2;0.975329;0.881064;NULL;LV2.112;7
LV2.112 Bus 57;0.975299;0.887775;NULL;LV2.112;7
LV2.112 Bus 87;0.996313;0.821569;NULL;LV2.112;7
LV2.112 Bus 36;0.985644;0.609785;NULL;LV2.112;7
LV2.112 Bus 56;0.976481;0.800339;NULL;LV2.112;7
LV2.112 Bus 55;0.992386;0.679123;NULL;LV2.112;7
LV2.112 Bus 59;0.981017;0.656539;NULL;LV2.112;7
LV2.112 Bus 70;0.980724;0.66338;NULL;LV2.112;7
LV2.112 Bus 51;0.989807;0.638695;NULL;LV2.112;7
LV2.112 Bus 62;0.988775;0.638996;NULL;LV2.112;7
LV2.112 Bus 30;0.974023;0.95628;NULL;LV2.112;7
LV2.112 Bus 3;0.989781;0.636115;NULL;LV2.112;7
LV2.112 Bus 4;0.980637;0.665473;NULL;LV2.112;7
LV2.112 Bus 52;0.976006;0.980079;NULL;LV2.112;7
LV2.112 Bus 32;0.976351;0.806416;NULL;LV2.112;7
LV2.112 Bus 5;0.992939;0.701071;NULL;LV2.112;7
LV2.112 Bus 35;0.989348;0.638829;NULL;LV2.112;7
LV2.112 Bus 24;0.993109;0.714576;NULL;LV2.112;7
LV2.112 Bus 11;0.974318;0.956194;NULL;LV2.112;7
LV2.112 Bus 80;0.987179;0.590247;NULL;LV2.112;7
LV2.112 Bus 50;0.992919;0.699231;NULL;LV2.112;7
LV2.112 Bus 8;0.982421;0.60999;NULL;LV2.112;7
LV2.112 Bus 45;0.993323;0.727651;NULL;LV2.112;7
LV2.112 Bus 85;0.986135;0.587454;NULL;LV2.112;7
LV2.112 Bus 1;0.988849;0.573801;NULL;LV2.112;7
LV2.112 Bus 46;0.973904;0.956315;NULL;LV2.112;7
LV2.112 Bus 10;0.975257;0.955929;NULL;LV2.112;7
LV2.112 Bus 92;0.9895;0.586432;NULL;LV2.112;7
LV2.112 Bus 65;0.989569;0.608604;NULL;LV2.112;7
LV2.112 Bus 9;0.982295;0.610025;NULL;LV2.112;7
LV2.112 Bus 28;0.974888;0.956033;NULL;LV2.112;7
LV2.112 Bus 7;0.980505;0.668885;NULL;LV2.112;7
LV2.112 Bus 6;0.985423;0.595108;NULL;LV2.112;7
LV2.112 Bus 19;0.989503;0.554776;NULL;LV2.112;7
LV2.112 Bus 95;0.975826;0.997262;NULL;LV2.112;7
LV2.112 Bus 34;0.982487;0.609971;NULL;LV2.112;7
LV2.112 Bus 42;0.975486;0.997355;NULL;LV2.112;7
LV2.112 Bus 71;0.983464;0.618884;NULL;LV2.112;7
LV2.112 Bus 20;0.976072;0.983558;NULL;LV2.112;7
LV2.112 Bus 12;0.986126;0.60229;NULL;LV2.112;7
LV2.112 Bus 18;0.985539;0.609815;NULL;LV2.112;7
LV2.112 Bus 29;0.975958;0.826159;NULL;LV2.112;7
LV2.112 Bus 49;0.977166;0.773862;NULL;LV2.112;7
LV2.112 Bus 25;0.983827;0.609576;NULL;LV2.112;7
LV2.112 Bus 68;0.988683;0.562213;NULL;LV2.112;7
LV2.112 Bus 89;0.984814;0.609289;NULL;LV2.112;7
LV2.112 Bus 26;0.975433;0.946026;NULL;LV2.112;7
LV2.112 Bus 73;0.982461;0.609979;NULL;LV2.112;7
LV2.112 Bus 43;0.989598;0.614433;NULL;LV2.112;7
LV2.112 Bus 91;0.98781;0.583682;NULL;LV2.112;7
LV2.112 Bus 40;0.976361;0.997115;NULL;LV2.112;7
LV2.112 Bus 78;0.975255;0.917524;NULL;LV2.112;7
LV2.112 Bus 63;0.989214;0.638868;NULL;LV2.112;7
LV2.112 Bus 39;0.97777;0.753947;NULL;LV2.112;7
LV2.112 Bus 75;0.975648;0.997311;NULL;LV2.112;7
LV2.112 Bus 31;0.982994;0.60982;NULL;LV2.112;7
LV2.112 Bus 67;0.974587;0.956118;NULL;LV2.112;7
LV2.112 Bus 83;0.98288;0.609854;NULL;LV2.112;7
LV2.112 Bus 86;0.992648;0.689178;NULL;LV2.112;7
LV2.112 Bus 17;0.988486;0.639082;NULL;LV2.112;7
LV2.112 Bus 84;0.988917;0.571624;NULL;LV2.112;7
LV2.112 Bus 96;0.989475;0.567797;NULL;LV2.112;7
LV2.112 Bus 77;0.98846;0.63909;NULL;LV2.112;7
LV2.112 Bus 44;0.981496;0.646819;NULL;LV2.112;7
LV2.112 Bus 100;0.988732;0.639009;NULL;LV2.112;7
LV2.112 Bus 66;0.994184;0.764056;NULL;LV2.112;7
LV2.112 Bus 74;0.989107;0.638899;NULL;LV2.112;7
LV2.113 Bus 23;0.978311;0.730422;NULL;LV2.113;7
LV2.113 Bus 53;0.975432;0.998988;NULL;LV2.113;7
LV2.113 Bus 41;0.996228;0.823175;NULL;LV2.113;7
LV2.113 Bus 13;0.978425;0.726541;NULL;LV2.113;7
LV2.113 Bus 99;0.993637;0.74869;NULL;LV2.113;7
LV2.113 Bus 14;0.978813;0.714657;NULL;LV2.113;7
LV2.113 Bus 81;0.981179;0.652261;NULL;LV2.113;7
LV2.113 Bus 15;0.993964;0.761403;NULL;LV2.113;7
LV2.113 Bus 103;0.982831;0.611408;NULL;LV2.113;7
LV2.113 Bus 69;0.984235;0.610997;NULL;LV2.113;7
LV2.113 Bus 27;0.976443;0.799569;NULL;LV2.113;7
LV2.113 Bus 93;0.978616;0.720554;NULL;LV2.113;7
LV2.113 Bus 16;0.989229;0.561074;NULL;LV2.113;7
LV2.113 Bus 94;0.975628;0.843091;NULL;LV2.113;7
LV2.113 Bus 79;0.988376;0.64066;NULL;LV2.113;7
LV2.113 Bus 38;0.985448;0.611382;NULL;LV2.113;7
LV2.113 Bus 97;0.993522;0.743822;NULL;LV2.113;7
LV2.113 Bus 58;0.979562;0.693098;NULL;LV2.113;7
LV2.113 Bus 72;0.986527;0.597869;NULL;LV2.113;7
LV2.113 Bus 82;0.989287;0.640393;NULL;LV2.113;7
LV2.113 Bus 21;0.975402;0.864231;NULL;LV2.113;7
LV2.113 Bus 101;0.994772;0.786175;NULL;LV2.113;7
LV2.113 Bus 22;0.985529;0.610624;NULL;LV2.113;7
LV2.113 Bus 37;0.995313;0.800794;NULL;LV2.113;7
LV2.113 Bus 61;0.97592;0.998854;NULL;LV2.113;7
LV2.113 Bus 90;0.983263;0.611281;NULL;LV2.113;7
LV2.113 Bus 33;0.988349;0.640668;NULL;LV2.113;7
LV2.113 Bus 88;0.978368;0.728401;NULL;LV2.113;7
LV2.113 Bus 102;0.97716;0.772336;NULL;LV2.113;7
LV2.113 Bus 2;0.975233;0.882686;NULL;LV2.113;7
LV2.113 Bus 57;0.975202;0.889398;NULL;LV2.113;7
LV2.113 Bus 87;0.996218;0.823178;NULL;LV2.113;7
LV2.113 Bus 36;0.985548;0.611353;NULL;LV2.113;7
LV2.113 Bus 56;0.976385;0.801944;NULL;LV2.113;7
LV2.113 Bus 55;0.992291;0.680704;NULL;LV2.113;7
LV2.113 Bus 59;0.980921;0.658117;NULL;LV2.113;7
LV2.113 Bus 70;0.980628;0.664959;NULL;LV2.113;7
LV2.113 Bus 51;0.989712;0.640268;NULL;LV2.113;7
LV2.113 Bus 62;0.98868;0.64057;NULL;LV2.113;7
LV2.113 Bus 30;0.973926;0.957916;NULL;LV2.113;7
LV2.113 Bus 3;0.989686;0.637688;NULL;LV2.113;7
LV2.113 Bus 4;0.980541;0.667052;NULL;LV2.113;7
LV2.113 Bus 52;0.975909;0.98172;NULL;LV2.113;7
LV2.113 Bus 32;0.976254;0.808023;NULL;LV2.113;7
LV2.113 Bus 5;0.992844;0.702657;NULL;LV2.113;7
LV2.113 Bus 35;0.989253;0.640403;NULL;LV2.113;7
LV2.113 Bus 24;0.993015;0.716164;NULL;LV2.113;7
LV2.113 Bus 11;0.974222;0.957831;NULL;LV2.113;7
LV2.113 Bus 80;0.987083;0.591811;NULL;LV2.113;7
LV2.113 Bus 50;0.992824;0.700817;NULL;LV2.113;7
LV2.113 Bus 8;0.982325;0.611559;NULL;LV2.113;7
LV2.113 Bus 45;0.993229;0.729242;NULL;LV2.113;7
LV2.113 Bus 85;0.986039;0.589018;NULL;LV2.113;7
LV2.113 Bus 1;0.988753;0.575363;NULL;LV2.113;7
LV2.113 Bus 46;0.973807;0.957952;NULL;LV2.113;7
LV2.113 Bus 10;0.975161;0.957565;NULL;LV2.113;7
LV2.113 Bus 92;0.989405;0.587996;NULL;LV2.113;7
LV2.113 Bus 65;0.989474;0.610172;NULL;LV2.113;7
LV2.113 Bus 9;0.982199;0.611594;NULL;LV2.113;7
LV2.113 Bus 28;0.974792;0.957669;NULL;LV2.113;7
LV2.113 Bus 7;0.980409;0.670465;NULL;LV2.113;7
LV2.113 Bus 6;0.985328;0.596673;NULL;LV2.113;7
LV2.113 Bus 19;0.989408;0.556333;NULL;LV2.113;7
LV2.113 Bus 95;0.97573;0.998907;NULL;LV2.113;7
LV2.113 Bus 34;0.982391;0.611539;NULL;LV2.113;7
LV2.113 Bus 42;0.97539;0.999;NULL;LV2.113;7
LV2.113 Bus 71;0.983368;0.620454;NULL;LV2.113;7
LV2.113 Bus 20;0.975976;0.9852;NULL;LV2.113;7
LV2.113 Bus 12;0.986031;0.603857;NULL;LV2.113;7
LV2.113 Bus 18;0.985443;0.611383;NULL;LV2.113;7
LV2.113 Bus 29;0.975862;0.82777;NULL;LV2.113;7
LV2.113 Bus 49;0.977069;0.775462;NULL;LV2.113;7
LV2.113 Bus 25;0.983731;0.611144;NULL;LV2.113;7
LV2.113 Bus 68;0.988588;0.563772;NULL;LV2.113;7
LV2.113 Bus 89;0.984718;0.610858;NULL;LV2.113;7
LV2.113 Bus 26;0.975337;0.94766;NULL;LV2.113;7
LV2.113 Bus 73;0.982365;0.611547;NULL;LV2.113;7
LV2.113 Bus 43;0.989502;0.616002;NULL;LV2.113;7
LV2.113 Bus 91;0.987715;0.585245;NULL;LV2.113;7
LV2.113 Bus 40;0.976264;0.99876;NULL;LV2.113;7
LV2.113 Bus 78;0.975159;0.919153;NULL;LV2.113;7
LV2.113 Bus 63;0.989119;0.640442;NULL;LV2.113;7
LV2.113 Bus 39;0.977674;0.755543;NULL;LV2.113;7
LV2.113 Bus 75;0.975551;0.998956;NULL;LV2.113;7
LV2.113 Bus 31;0.982898;0.611389;NULL;LV2.113;7
LV2.113 Bus 67;0.974491;0.957754;NULL;LV2.113;7
LV2.113 Bus 83;0.982784;0.611422;NULL;LV2.113;7
LV2.113 Bus 86;0.992553;0.690761;NULL;LV2.113;7
LV2.113 Bus 17;0.98839;0.640656;NULL;LV2.113;7
LV2.113 Bus 84;0.988822;0.573184;NULL;LV2.113;7
LV2.113 Bus 96;0.989379;0.569357;NULL;LV2.113;7
LV2.113 Bus 77;0.988365;0.640664;NULL;LV2.113;7
LV2.113 Bus 44;0.9814;0.648394;NULL;LV2.113;7
LV2.113 Bus 100;0.988637;0.640582;NULL;LV2.113;7
LV2.113 Bus 66;0.994089;0.765653;NULL;LV2.113;7
LV2.113 Bus 74;0.989012;0.640473;NULL;LV2.113;7
LV2.114 Bus 23;0.978197;0.732097;NULL;LV2.114;7
LV2.114 Bus 53;0.975318;1.00073;NULL;LV2.114;7
LV2.114 Bus 41;0.996116;0.824871;NULL;LV2.114;7
LV2.114 Bus 13;0.978311;0.728215;NULL;LV2.114;7
LV2.114 Bus 99;0.993526;0.750368;NULL;LV2.114;7
LV2.114 Bus 14;0.9787;0.716329;NULL;LV2.114;7
LV2.114 Bus 81;0.981066;0.653918;NULL;LV2.114;7
LV2.114 Bus 15;0.993853;0.763084;NULL;LV2.114;7
LV2.114 Bus 103;0.982718;0.613056;NULL;LV2.114;7
LV2.114 Bus 69;0.984122;0.612645;NULL;LV2.114;7
LV2.114 Bus 27;0.976329;0.80126;NULL;LV2.114;7
LV2.114 Bus 93;0.978503;0.722227;NULL;LV2.114;7
LV2.114 Bus 16;0.989116;0.562711;NULL;LV2.114;7
LV2.114 Bus 94;0.975514;0.844793;NULL;LV2.114;7
LV2.114 Bus 79;0.988264;0.642315;NULL;LV2.114;7
LV2.114 Bus 38;0.985336;0.61303;NULL;LV2.114;7
LV2.114 Bus 97;0.99341;0.7455;NULL;LV2.114;7
LV2.114 Bus 58;0.979448;0.694764;NULL;LV2.114;7
LV2.114 Bus 72;0.986415;0.599514;NULL;LV2.114;7
LV2.114 Bus 82;0.989175;0.642047;NULL;LV2.114;7
LV2.114 Bus 21;0.975288;0.865938;NULL;LV2.114;7
LV2.114 Bus 101;0.99466;0.787863;NULL;LV2.114;7
LV2.114 Bus 22;0.985417;0.612272;NULL;LV2.114;7
LV2.114 Bus 37;0.995202;0.802484;NULL;LV2.114;7
LV2.114 Bus 61;0.975807;1.00059;NULL;LV2.114;7
LV2.114 Bus 90;0.983151;0.612929;NULL;LV2.114;7
LV2.114 Bus 33;0.988237;0.642323;NULL;LV2.114;7
LV2.114 Bus 88;0.978254;0.730076;NULL;LV2.114;7
LV2.114 Bus 102;0.977047;0.774021;NULL;LV2.114;7
LV2.114 Bus 2;0.975119;0.884397;NULL;LV2.114;7
LV2.114 Bus 57;0.975089;0.89111;NULL;LV2.114;7
LV2.114 Bus 87;0.996107;0.824873;NULL;LV2.114;7
LV2.114 Bus 36;0.985435;0.613001;NULL;LV2.114;7
LV2.114 Bus 56;0.976271;0.803637;NULL;LV2.114;7
LV2.114 Bus 55;0.992179;0.682367;NULL;LV2.114;7
LV2.114 Bus 59;0.980807;0.659775;NULL;LV2.114;7
LV2.114 Bus 70;0.980515;0.666619;NULL;LV2.114;7
LV2.114 Bus 51;0.9896;0.641923;NULL;LV2.114;7
LV2.114 Bus 62;0.988568;0.642224;NULL;LV2.114;7
LV2.114 Bus 30;0.973812;0.959645;NULL;LV2.114;7
LV2.114 Bus 3;0.989574;0.639342;NULL;LV2.114;7
LV2.114 Bus 4;0.980428;0.668713;NULL;LV2.114;7
LV2.114 Bus 52;0.975795;0.983454;NULL;LV2.114;7
LV2.114 Bus 32;0.976141;0.809716;NULL;LV2.114;7
LV2.114 Bus 5;0.992732;0.704325;NULL;LV2.114;7
LV2.114 Bus 35;0.989141;0.642057;NULL;LV2.114;7
LV2.114 Bus 24;0.992903;0.717836;NULL;LV2.114;7
LV2.114 Bus 11;0.974108;0.959559;NULL;LV2.114;7
LV2.114 Bus 80;0.986971;0.593455;NULL;LV2.114;7
LV2.114 Bus 50;0.992712;0.702485;NULL;LV2.114;7
LV2.114 Bus 8;0.982212;0.613206;NULL;LV2.114;7
LV2.114 Bus 45;0.993117;0.730916;NULL;LV2.114;7
LV2.114 Bus 85;0.985927;0.59066;NULL;LV2.114;7
LV2.114 Bus 1;0.988641;0.577002;NULL;LV2.114;7
LV2.114 Bus 46;0.973693;0.95968;NULL;LV2.114;7
LV2.114 Bus 10;0.975047;0.959294;NULL;LV2.114;7
LV2.114 Bus 92;0.989292;0.589638;NULL;LV2.114;7
LV2.114 Bus 65;0.989362;0.61182;NULL;LV2.114;7
LV2.114 Bus 9;0.982086;0.613241;NULL;LV2.114;7
LV2.114 Bus 28;0.974678;0.959398;NULL;LV2.114;7
LV2.114 Bus 7;0.980296;0.672126;NULL;LV2.114;7
LV2.114 Bus 6;0.985215;0.598318;NULL;LV2.114;7
LV2.114 Bus 19;0.989296;0.557968;NULL;LV2.114;7
LV2.114 Bus 95;0.975616;1.00064;NULL;LV2.114;7
LV2.114 Bus 34;0.982278;0.613187;NULL;LV2.114;7
LV2.114 Bus 42;0.975276;1.00074;NULL;LV2.114;7
LV2.114 Bus 71;0.983256;0.622104;NULL;LV2.114;7
LV2.114 Bus 20;0.975862;0.986935;NULL;LV2.114;7
LV2.114 Bus 12;0.985918;0.605503;NULL;LV2.114;7
LV2.114 Bus 18;0.985331;0.613031;NULL;LV2.114;7
LV2.114 Bus 29;0.975748;0.829468;NULL;LV2.114;7
LV2.114 Bus 49;0.976956;0.777148;NULL;LV2.114;7
LV2.114 Bus 25;0.983619;0.612792;NULL;LV2.114;7
LV2.114 Bus 68;0.988476;0.565409;NULL;LV2.114;7
LV2.114 Bus 89;0.984605;0.612505;NULL;LV2.114;7
LV2.114 Bus 26;0.975223;0.949386;NULL;LV2.114;7
LV2.114 Bus 73;0.982252;0.613195;NULL;LV2.114;7
LV2.114 Bus 43;0.98939;0.617651;NULL;LV2.114;7
LV2.114 Bus 91;0.987603;0.586887;NULL;LV2.114;7
LV2.114 Bus 40;0.976151;1.0005;NULL;LV2.114;7
LV2.114 Bus 78;0.975045;0.920873;NULL;LV2.114;7
LV2.114 Bus 63;0.989007;0.642096;NULL;LV2.114;7
LV2.114 Bus 39;0.97756;0.757224;NULL;LV2.114;7
LV2.114 Bus 75;0.975438;1.00069;NULL;LV2.114;7
LV2.114 Bus 31;0.982785;0.613036;NULL;LV2.114;7
LV2.114 Bus 67;0.974377;0.959482;NULL;LV2.114;7
LV2.114 Bus 83;0.982671;0.61307;NULL;LV2.114;7
LV2.114 Bus 86;0.992441;0.692427;NULL;LV2.114;7
LV2.114 Bus 17;0.988278;0.64231;NULL;LV2.114;7
LV2.114 Bus 84;0.98871;0.574823;NULL;LV2.114;7
LV2.114 Bus 96;0.989267;0.570995;NULL;LV2.114;7
LV2.114 Bus 77;0.988252;0.642318;NULL;LV2.114;7
LV2.114 Bus 44;0.981287;0.65005;NULL;LV2.114;7
LV2.114 Bus 100;0.988525;0.642237;NULL;LV2.114;7
LV2.114 Bus 66;0.993978;0.767336;NULL;LV2.114;7
LV2.114 Bus 74;0.9889;0.642127;NULL;LV2.114;7
LV2.115 Bus 23;0.977849;0.736977;NULL;LV2.115;7
LV2.115 Bus 53;0.974969;1.0058;NULL;LV2.115;7
LV2.115 Bus 41;0.995774;0.829813;NULL;LV2.115;7
LV2.115 Bus 13;0.977963;0.733093;NULL;LV2.115;7
LV2.115 Bus 99;0.993183;0.755259;NULL;LV2.115;7
LV2.115 Bus 14;0.978351;0.721198;NULL;LV2.115;7
LV2.115 Bus 81;0.980718;0.658743;NULL;LV2.115;7
LV2.115 Bus 15;0.99351;0.767984;NULL;LV2.115;7
LV2.115 Bus 103;0.982371;0.617852;NULL;LV2.115;7
LV2.115 Bus 69;0.983776;0.61744;NULL;LV2.115;7
LV2.115 Bus 27;0.97598;0.80619;NULL;LV2.115;7
LV2.115 Bus 93;0.978154;0.727101;NULL;LV2.115;7
LV2.115 Bus 16;0.988772;0.567471;NULL;LV2.115;7
LV2.115 Bus 94;0.975164;0.849754;NULL;LV2.115;7
LV2.115 Bus 79;0.987919;0.64713;NULL;LV2.115;7
LV2.115 Bus 38;0.98499;0.617825;NULL;LV2.115;7
LV2.115 Bus 97;0.993067;0.750387;NULL;LV2.115;7
LV2.115 Bus 58;0.9791;0.699618;NULL;LV2.115;7
LV2.115 Bus 72;0.986069;0.6043;NULL;LV2.115;7
LV2.115 Bus 82;0.98883;0.646863;NULL;LV2.115;7
LV2.115 Bus 21;0.974938;0.870914;NULL;LV2.115;7
LV2.115 Bus 101;0.994317;0.792779;NULL;LV2.115;7
LV2.115 Bus 22;0.985071;0.617067;NULL;LV2.115;7
LV2.115 Bus 37;0.994859;0.807411;NULL;LV2.115;7
LV2.115 Bus 61;0.975457;1.00566;NULL;LV2.115;7
LV2.115 Bus 90;0.982804;0.617724;NULL;LV2.115;7
LV2.115 Bus 33;0.987892;0.647138;NULL;LV2.115;7
LV2.115 Bus 88;0.977906;0.734955;NULL;LV2.115;7
LV2.115 Bus 102;0.976698;0.778932;NULL;LV2.115;7
LV2.115 Bus 2;0.974769;0.889386;NULL;LV2.115;7
LV2.115 Bus 57;0.974739;0.896104;NULL;LV2.115;7
LV2.115 Bus 87;0.995765;0.829815;NULL;LV2.115;7
LV2.115 Bus 36;0.985089;0.617796;NULL;LV2.115;7
LV2.115 Bus 56;0.975922;0.808568;NULL;LV2.115;7
LV2.115 Bus 55;0.991836;0.687211;NULL;LV2.115;7
LV2.115 Bus 59;0.98046;0.664604;NULL;LV2.115;7
LV2.115 Bus 70;0.980167;0.671453;NULL;LV2.115;7
LV2.115 Bus 51;0.989256;0.646738;NULL;LV2.115;7
LV2.115 Bus 62;0.988223;0.64704;NULL;LV2.115;7
LV2.115 Bus 30;0.973462;0.964688;NULL;LV2.115;7
LV2.115 Bus 3;0.989229;0.644156;NULL;LV2.115;7
LV2.115 Bus 4;0.98008;0.673548;NULL;LV2.115;7
LV2.115 Bus 52;0.975446;0.988515;NULL;LV2.115;7
LV2.115 Bus 32;0.975791;0.814652;NULL;LV2.115;7
LV2.115 Bus 5;0.992389;0.709184;NULL;LV2.115;7
LV2.115 Bus 35;0.988796;0.646873;NULL;LV2.115;7
LV2.115 Bus 24;0.99256;0.722704;NULL;LV2.115;7
LV2.115 Bus 11;0.973758;0.964603;NULL;LV2.115;7
LV2.115 Bus 80;0.986625;0.598237;NULL;LV2.115;7
LV2.115 Bus 50;0.992369;0.707342;NULL;LV2.115;7
LV2.115 Bus 8;0.981865;0.618002;NULL;LV2.115;7
LV2.115 Bus 45;0.992774;0.735793;NULL;LV2.115;7
LV2.115 Bus 85;0.985581;0.59544;NULL;LV2.115;7
LV2.115 Bus 1;0.988296;0.581773;NULL;LV2.115;7
LV2.115 Bus 46;0.973343;0.964724;NULL;LV2.115;7
LV2.115 Bus 10;0.974697;0.964337;NULL;LV2.115;7
LV2.115 Bus 92;0.988948;0.594417;NULL;LV2.115;7
LV2.115 Bus 65;0.989017;0.616614;NULL;LV2.115;7
LV2.115 Bus 9;0.981739;0.618037;NULL;LV2.115;7
LV2.115 Bus 28;0.974328;0.964441;NULL;LV2.115;7
LV2.115 Bus 7;0.979948;0.676964;NULL;LV2.115;7
LV2.115 Bus 6;0.984869;0.603103;NULL;LV2.115;7
LV2.115 Bus 19;0.988951;0.562725;NULL;LV2.115;7
LV2.115 Bus 95;0.975267;1.00572;NULL;LV2.115;7
LV2.115 Bus 34;0.981931;0.617983;NULL;LV2.115;7
LV2.115 Bus 42;0.974927;1.00581;NULL;LV2.115;7
LV2.115 Bus 71;0.982909;0.626906;NULL;LV2.115;7
LV2.115 Bus 20;0.975512;0.991998;NULL;LV2.115;7
LV2.115 Bus 12;0.985572;0.610293;NULL;LV2.115;7
LV2.115 Bus 18;0.984985;0.617827;NULL;LV2.115;7
LV2.115 Bus 29;0.975399;0.834418;NULL;LV2.115;7
LV2.115 Bus 49;0.976607;0.782061;NULL;LV2.115;7
LV2.115 Bus 25;0.983272;0.617587;NULL;LV2.115;7
LV2.115 Bus 68;0.988131;0.570171;NULL;LV2.115;7
LV2.115 Bus 89;0.984259;0.6173;NULL;LV2.115;7
LV2.115 Bus 26;0.974873;0.954422;NULL;LV2.115;7
LV2.115 Bus 73;0.981905;0.61799;NULL;LV2.115;7
LV2.115 Bus 43;0.989046;0.62245;NULL;LV2.115;7
LV2.115 Bus 91;0.987257;0.591664;NULL;LV2.115;7
